time,open,high,low,close,MHULL,SHULL
1524268800,8834.684098,9008.4309,8550.142577,8895.360862,7180.12283559399,6916.529709024738
1524355200,8911.636368,9070,8725.825985,8772.488812,7332.813519124077,7038.740587290798
1524441600,8766.68835,8986.434981,8707.200345,8946.999999,7498.48916345048,7180.12283559399
1524528000,8946.999997,9649.128999,8917.85355,9628,7690.2388098312595,7332.813519124077
1524614400,9628,9717.999999,8627.618088,8834.88,7878.094272814597,7498.48916345048
1524700800,8834.88,9300,8638.000001,9274.10482,8069.375028574233,7690.2388098312595
1524787200,9274.10482,9388,8888.89596,8908.04,8248.240863240137,7878.094272814597
1524873600,8908.04,9475.546618,8888,9352.999997,8425.100338464841,8069.375028574233
1524960000,9352.999997,9595,9177.030807,9449.999997,8599.242474005257,8248.240863240137
1525046400,9425,9480,9118.055238,9218,8760.951264783234,8425.100338464841
1525132800,9246.207477,9246.207477,8828.774031,9050,8905.019453410912,8599.242474005257
1525219200,9050,9291.133,8956.200261,9291.133,9040.0260665238,8760.951264783234
1525305600,9240.000684,9800,9175.132999,9765.99999,9176.795484429556,8905.019453410912
1525392000,9733.33,9800,9539.51774,9719.056,9311.290026762277,9040.0260665238
1525478400,9715.38699,10000,9688.584,9880,9444.475230989663,9176.795484429556
1525564800,9874.61481,9975,9432,9659,9568.104978758438,9311.290026762277
1525651200,9675.11661,9699.619799,9200,9405,9674.279050829207,9444.475230989663
1525737600,9364.110448,9486.989779,9100,9180,9756.371682299034,9568.104978758438
1525824000,9190,9392.060605,8950,9340.323104,9818.989560379327,9674.279050829207
1525910400,9340.323104,9480,9000,9029.6192,9855.467660294316,9756.371682299034
1525996800,9029.6192,9072.210802,8350.561174,8390.99979,9853.39049278662,9818.989560379327
1526083200,8362,8683.263,8145.021413,8470.000002,9822.359573451977,9855.467660294316
1526169600,8470.000002,8882.51,8320,8690.636279,9775.990111223491,9853.39049278662
1526256000,8664.21684,8950,8289.410564,8649,9718.025032304451,9822.359573451977
1526342400,8656,8850.179575,8400.450421,8470,9647.030033107103,9775.990111223491
1526428800,8472.84186,8499.523,8095.570631,8334,9562.79377582933,9718.025032304451
1526515200,8346.419519,8449.05,7960.000008,8010.000768,9461.237422843938,9647.030033107103
1526601600,8030,8300.01,7920.011971,8248.139654,9354.233603234092,9562.79377582933
1526688000,8248.139654,8392,8135,8240.82284,9243.249429322559,9461.237422843938
1526774400,8220.82284,8590.275105,8177.014168,8510,9137.161962291471,9354.233603234092
1526860800,8510,8586.126906,8320,8399.999882,9034.360664956068,9243.249429322559
1526947200,8399.999881,8407.19999,7950,7975,8925.93944884997,9137.161962291471
1527033600,7975,8025.720924,7410,7494.785,8801.474969379009,9034.360664956068
1527120000,7494.785,7779.610708,7280,7569.99,8667.783210180449,8925.93944884997
1527206400,7569.99,7636,7320.00023,7431.115628,8523.520478964598,8801.474969379009
1527292800,7432.010419,7600,7300,7323.000001,8370.21343757572,8667.783210180449
1527379200,7337.43554,7394.999219,7200,7335,8213.006369606937,8523.520478964598
1527465600,7316.730251,7437.024298,7000,7088.617131,8050.427219505595,8370.21343757572
1527552000,7088.617131,7550,7021.000442,7449.95125,7897.535203269218,8213.006369606937
1527638400,7449.95125,7557.33823,7259.777298,7380.000001,7754.718781560621,8050.427219505595
1527724800,7380.000001,7633.378138,7327.374155,7476.65173,7625.765824356195,7897.535203269218
1527811200,7502.399999,7630,7369,7525.000001,7512.832128303575,7754.718781560621
1527897600,7525.000001,7693.288115,7443.414876,7671.918456,7419.92604945817,7625.765824356195
1527984000,7671.916957,7795.4406,7603.368351,7703.316073,7346.418357709548,7512.832128303575
1528070400,7711.521558,7750,7450,7495.012979,7284.8732479887285,7419.92604945817
1528156800,7495.012979,7680.693636,7353.927796,7636.28,7237.024256499031,7346.418357709548
1528243200,7636.28,7684.51,7451,7662.221,7202.41488592197,7284.8732479887285
1528329600,7662.221,7775.293786,7638.92,7680,7179.430850197777,7237.024256499031
1528416000,7682.416,7726.4544,7511.583787,7600,7163.499303546747,7202.41488592197
1528502400,7617.534659,7721.899725,7450,7493.999999,7150.340283759088,7179.430850197777
1528588800,7493.999999,7493.999999,6615.000656,6762.999999,7120.559044977196,7163.499303546747
1528675200,6762.999999,7001.289462,6615.000001,6850.329393,7080.613974835602,7150.340283759088
1528761600,6859.52845,6896.400444,6447.464224,6523.00784,7024.437617163001,7120.559044977196
1528848000,6524.451296,6612,6100,6299.999998,6950.755181115361,7080.613974835602
1528934400,6289.45,6710,6260,6620.000001,6873.632244235426,7024.437617163001
1529020800,6641.907299,6658.648988,6361.133281,6377,6790.727373000062,6950.755181115361
1529107200,6377.1,6573.652706,6320.000506,6490,6709.99483043418,6873.632244235426
1529193600,6496.000004,6584.440013,6410,6420.464925,6633.768898576099,6790.727373000062
1529280000,6446.687639,6795,6370.951491,6722,6571.577170072197,6709.99483043418
1529366400,6702.01,6835,6660,6737.373251,6523.450273250118,6633.768898576099
1529452800,6750,6818.889492,6557.878534,6751.039936,6487.6503549646395,6571.577170072197
1529539200,6764.640098,6830.635094,6668.627455,6715.648192,6460.441939566386,6523.450273250118
